species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,100,Lololo Forest HQ Picnic ground,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,2,746,Bukuya rd 1,3
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,1,Korotogo Beach,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,20,Koronivia Farm,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,0,Queens Rd,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,4,10,"FIJI Viti Levu: Rewa Prov. Suva, nr. USP campus [Lacala Bay]",1
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,0,75,"FIJI Moala: Lau Prov. Naroi coastal forest, 4.13 km E of Naroi village (also malaise site)",5
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,1,500,"FIJI Koro I.: Mt. Kuitarua summit, 3.8  km NW Nasau Village",4
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,3,15,Ellington Wharf 1,2
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,4,10,Koronivia 10,1
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,3,10,McDonald's Resort 10 b,2
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,2,50,Nuku 50,3
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,3,55,Wayasewa 55,2
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,4,200,Suva 200,1
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,0,304,Lami 304,5
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,2,410,Abaca 410,3
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,1,500,Mt. Kuitarua 500,4
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,1,505,Mt. Kuitarua 505,4
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,2,800,Monasavu 800 a,3
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,2,863,Navai 863,3
Cardiocondyla.minutior,Cardiocondyla.minutior.EGP0031F09.Fiji,Exotic,0,1294,Mt. Tomanivi 1294,5
Cardiocondyla.nuda,Cardiocondyla.nuda.EGP0031G03.Fiji,widespread pacific native,3,1,Ellington Wharf 1,2
Cardiocondyla.nuda,Cardiocondyla.nuda.EGP0031G03.Fiji,widespread pacific native,0,432,Lami 432,5
Cardiocondyla.nuda,Cardiocondyla.nuda.EGP0031G03.Fiji,widespread pacific native,2,50,Nuku 50,3
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,3,1,Ellington Wharf 1,2
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,3,10,McDonald's Resort 10 b,2
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,0,10,Vunitogoloa 10,5
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,2,55,Volivoli 55,3
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,1,60,Moanakaka 60,4
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,0,75,Naroi 75,5
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,1,97,Rokosalase 97,4
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,2,128,Solodamu 128,3
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,2,166,Dogotuki 166,3
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,0,182,Malovo 182,5
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,0,400,Vusasivo Village 400 a,5
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,1,700,Navai 700,4
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,1,800,Kokabula 800,4
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,1,800,Savuione 800,4
Cardiocondyla.obscurior,Cardiocondyla.obscurior.EGP0031G08.Fiji,Exotic,0,840,Mt. Batilamu 840 c,5
